Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
55476,Curved Space,PS5,N/A,Shooter,Unknown  ,Only By Midnight Ltd.  ,,,,,,,
55477,Curved Space,XS,N/A,Shooter,Unknown  ,Only By Midnight Ltd.  ,,,,,,,
55478,Curved Space,PC,N/A,Shooter,Unknown  ,Only By Midnight Ltd.  ,,,,,,,
55479,Cyber Hook,NS,N/A,Platform,Unknown  ,Blazing Stick  ,,,,,,,
55480,Cyber Hook,PC,N/A,Platform,Unknown  ,Blazing Stick  ,,,,,,,
55481,Cyber Shadow,XOne,2020,Platform,Yacht Club Games  ,Mechanical Head Studios  ,,,,,,,
55482,Cyber Shadow,PS4,2020,Platform,Yacht Club Games  ,Mechanical Head Studios  ,,,,,,,
55483,Cyber Shadow,PC,2020,Platform,Yacht Club Games  ,Mechanical Head Studios  ,,,,,,,
55484,Cyber Shadow,NS,2020,Platform,Yacht Club Games  ,Mechanical Head Studios  ,,,,,,,
55485,Cyberpunk 2077,XS,2021,Action-Adventure,CD Projekt Red Studio  ,CD Projekt Red Studio  ,,,,,,,
55486,Cyberpunk 2077,PS5,2021,Action-Adventure,CD Projekt Red Studio  ,CD Projekt Red Studio  ,,,,,,,
55487,Cytus Alpha,NS,2019,Music,PM Studios  ,Rayark Inc.  ,,,,,,,
55488,D.S.: Dal Segno,PS4,2018,Visual Novel,Entergram  ,Entergram  ,,,,,,,
55489,D/Generation HD,NS,2018,Puzzle,West Coast Software  ,West Coast Software  ,,,,,,,
55490,Daemon X Machina,NS,2019,Action,Nintendo  ,Marvelous  ,,,,,,,
55491,Daemon X Machina,PC,2020,Action,Xseed Games  ,Marvelous  ,,,,,,,
55492,Daikon Set,WiiU,N/A,Action,Unknown  ,TBD  ,,,,,,,
55493,Dakar 18,PC,2018,Racing,Deep Silver  ,Bigmoon Entertainment  ,,,,,,,
55494,Dakar Desert Rally,XS,N/A,Racing,Unknown  ,Saber Interactive  ,,,,,,,
55495,Dakar Desert Rally,XOne,N/A,Racing,Unknown  ,Saber Interactive  ,,,,,,,
55496,Dakar Desert Rally,PS5,N/A,Racing,Unknown  ,Saber Interactive  ,,,,,,,
55497,Dakar Desert Rally,PS4,N/A,Racing,Unknown  ,Saber Interactive  ,,,,,,,
55498,Dakar Desert Rally,PC,N/A,Racing,Unknown  ,Saber Interactive  ,,,,,,,
55499,Damage Inc.: Pacific Squadron WWII,PS3,2012,Simulation,Mad Catz  ,Mad Catz  ,,,,,,,
55500,Damage Inc.: Pacific Squadron WWII,PC,2012,Simulation,Mad Catz  ,Mad Catz  ,,,,,,,
55501,Damascus Gear: Operation Tokyo,NS,2018,Role-Playing,Arc System Works  ,Arc System Works  ,,,,,,,
55502,Dance Central Spotlight,XOne,2014,Music,Microsoft Studios  ,Harmonix Music Systems  ,,,,,,,
55503,Dandara,NS,2018,Action,Raw Fury  ,Long Hat House  ,,,,,,,
55504,Dandara,PC,N/A,Action,Unknown  ,Long Hat House  ,,,,,,,
55505,Dandara,PS4,N/A,Action,Unknown  ,Long Hat House  ,,,,,,,
55506,Dandara,XOne,N/A,Action,Unknown  ,Long Hat House  ,,,,,,,
55507,Danganronpa Decadence,NS,N/A,Visual Novel,Unknown  ,Spike Chunsoft  ,,,,,,,
55508,Danganronpa V3: Killing Harmony,PC,2017,Adventure,Spike Chunsoft  ,Spike Chunsoft  ,,,,,,,
55509,Dangerous Driving,PS4,2019,Racing,Three Fields Entertainment  ,Three Fields Entertainment  ,,,,,,,
55510,Dangerous Driving,XOne,2019,Racing,Three Fields Entertainment  ,Three Fields Entertainment  ,,,,,,,
55511,Dangerous Driving,PC,2019,Racing,Three Fields Entertainment  ,Three Fields Entertainment  ,,,,,,,
55512,Dangerous Driving 2,XOne,2020,Racing,Three Fields Entertainment  ,Three Fields Entertainment  ,,,,,,,
55513,Dangerous Driving 2,PS4,2020,Racing,Three Fields Entertainment  ,Three Fields Entertainment  ,,,,,,,
55514,Dangerous Driving 2,PC,2020,Racing,Three Fields Entertainment  ,Three Fields Entertainment  ,,,,,,,
55515,Dangerous Driving 2,NS,2020,Racing,Three Fields Entertainment  ,Three Fields Entertainment  ,,,,,,,
