Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
PS2,92,7.6,2006.0,Role-Playing,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0.0,2.33,1.74,5.95
PS4,92,7.1,2017.0,Role-Playing,Toby Fox  ,Toby Fox  ,,,,,0.01,,0.01
PS4,92,9.2,2015.0,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,1.48,2.82,0.28,0.81,5.39
GBA,92,9.0,2002.0,Platform,Nintendo  ,Nintendo EAD  ,9.4,,3.21,1.11,0.95,0.2,5.46
XB,92,8.1,2004.0,Sports,Sega  ,Visual Concepts  ,,,1.54,0.02,,0.07,1.63
XB,92,7.3,2002.0,Sports,EA Sports  ,EA Tiburon  ,,,0.67,0.02,,0.03,0.71
DC,92,8.4,2000.0,Sports,Sega  ,Hitmaker  ,9.2,,,,,,
PC,92,9.0,2004.0,Strategy,Activision  ,The Creative Assembly  ,9.0,,,0.09,,0.01,0.11
X360,92,8.1,2009.0,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,9.8,2.99,1.9,0.1,0.51,5.5
PC,92,7.9,2017.0,Adventure,Capcom  ,Capcom  ,,,,,,,
PC,92,8.4,2015.0,Role-Playing,Toby Fox  ,Toby Fox  ,,,,,,,
X360,92,8.7,2009.0,Action,Eidos Interactive  ,Rocksteady Studios  ,9.1,,2.24,0.95,0.02,0.33,3.54
XB,92,8.3,2003.0,Sports,EA Sports BIG   ,EA Canada  ,,,0.29,0.08,,0.01,0.39
XB,92,8.8,2003.0,Fighting,Namco  ,Namco  ,,,0.78,0.18,0.03,0.0,1.0
PS,92,8.8,1999.0,Sports,Activision  ,Neversoft Entertainment  ,9.6,,3.42,1.38,0.02,0.2,5.02
PC,92,9.0,1998.0,Shooter,Eidos Interactive  ,Looking Glass Studios  ,9.3,,,0.01,,0.0,0.01
3DS,92,9.0,2013.0,Role-Playing,Nintendo  ,Intelligent Systems  ,9.0,,0.9,0.5,0.56,0.14,2.1
PC,92,9.1,1999.0,Strategy,Microsoft  ,Ensemble Studios  ,9.3,,0.01,0.08,,0.01,0.09
PS2,92,8.9,2001.0,Role-Playing,Square  ,SquareSoft  ,9.0,10.0,2.91,2.07,2.73,0.33,8.05
X360,92,8.6,2012.0,Adventure,Telltale Games  ,Telltale Games  ,,,0.55,0.13,,0.07,0.76
PC,92,8.8,1999.0,Strategy,Electronic Arts  ,Firaxis Games  ,9.4,,,,,,
N64,92,8.3,1996.0,Racing,Nintendo  ,Nintendo EAD  ,9.2,,1.98,0.58,0.34,0.04,2.94
PC,92,8.2,2008.0,Strategy,Stardock  ,Stardock  ,9.4,,,,,,
