Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales
X360,92.0,8.1,2007,Misc,RedOctane  ,Harmonix Music Systems  ,9.2,,2.01,0.02,0.0,0.17,2.21,4.41
PS2,92.0,8.8,2003,Adventure,Ubisoft  ,Ubisoft Montreal  ,9.0,9.1,0.88,1.03,0.0,0.31,2.22,4.44
PS3,92.0,8.4,2011,Action,Sony Computer Entertainment  ,Naughty Dog  ,9.3,6.3,2.77,2.81,0.19,1.06,6.84,13.67
X360,92.0,8.0,2007,Misc,MTV Games  ,Harmonix Music Systems  ,9.1,,1.93,0.33,0.0,0.21,2.47,4.9399999999999995
PS4,92.0,8.3,2015,Adventure,Sony Computer Entertainment  ,thatgamecompany  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS4,92.0,8.8,2015,Role-Playing,Sony Computer Entertainment  ,From Software  ,8.2,,1.3,1.05,0.28,0.48,3.11,6.22
PC,92.0,9.2,2002,Strategy,Blizzard Entertainment  ,Blizzard Entertainment  ,9.3,,0.03,0.1,0.0,0.01,0.14,0.28
PC,92.0,7.9,2000,Simulation,Maxis  ,Maxis  ,8.9,,0.01,0.03,0.0,0.0,0.05,0.09
N64,92.0,9.1,1998,Platform,Nintendo  ,Rare Ltd.  ,9.3,9.4,1.87,1.13,0.55,0.1,3.65,7.3
PC,92.0,7.4,1997,Strategy,Electronic Arts  ,Firaxis Games  ,9.3,,0.0,0.0,0.0,0.0,0.0,0.0
NS,92.0,8.6,2018,Platform,Matt Makes Games Inc.  ,Matt Makes Games Inc.  ,9.3,,0.0,0.0,0.0,0.0,0.0,0.0
Wii,92.0,7.2,2008,Misc,MTV Games  ,Harmonix Music Systems  ,9.0,,0.93,0.01,0.0,0.08,1.02,2.04
XB,92.0,7.6,2005,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,,0.52,0.51,0.0,0.02,1.05,2.1
XB,92.0,7.6,2003,Sports,EA Sports  ,EA Tiburon  ,,,1.02,0.02,0.0,0.05,1.09,2.18
PS3,92.0,7.8,2010,Fighting,Capcom  ,Capcom / Dimps Corporation  ,9.3,,0.68,0.33,0.18,0.15,1.34,2.6799999999999997
PC,92.0,6.9,2004,Sports,Konami  ,Konami Computer Entertainment Tokyo  ,9.1,,0.0,0.0,0.0,0.0,0.0,0.0
GBA,92.0,8.9,2001,Strategy,Nintendo  ,Intelligent Systems  ,9.4,,0.5,0.19,0.0,0.01,0.7,1.4
PS,92.0,9.0,2000,Role-Playing,Square EA  ,SquareSoft  ,9.3,,0.3,0.2,0.3,0.06,0.87,1.73
PC,92.0,9.0,2008,Shooter,Valve  ,Valve Corporation  ,9.2,,0.0,0.0,0.0,0.0,0.0,0.0
PC,92.0,9.1,1999,Role-Playing,Electronic Arts  ,Irrational Games / Looking Glass Studios  ,8.9,,0.0,0.0,0.0,0.0,0.0,0.0
PC,92.0,8.7,2005,Action,Ubisoft  ,Ubisoft Montreal  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PS2,92.0,7.6,2006,Role-Playing,Square Enix  ,Square Enix  ,9.4,9.5,1.88,0.0,2.33,1.74,5.95,11.9
PS4,92.0,7.1,2017,Role-Playing,Toby Fox  ,Toby Fox  ,,,0.0,0.0,0.01,0.0,0.01,0.02
PS4,92.0,9.2,2015,Role-Playing,Warner Bros. Interactive Entertainment  ,CD Projekt Red Studio  ,,,1.48,2.82,0.28,0.81,5.39,10.780000000000001
GBA,92.0,9.0,2002,Platform,Nintendo  ,Nintendo EAD  ,9.4,,3.21,1.11,0.95,0.2,5.46,10.93
XB,92.0,8.1,2004,Sports,Sega  ,Visual Concepts  ,,,1.54,0.02,0.0,0.07,1.63,3.26
XB,92.0,7.3,2002,Sports,EA Sports  ,EA Tiburon  ,,,0.67,0.02,0.0,0.03,0.71,1.4300000000000002
DC,92.0,8.4,2000,Sports,Sega  ,Hitmaker  ,9.2,,0.0,0.0,0.0,0.0,0.0,0.0
PC,92.0,9.0,2004,Strategy,Activision  ,The Creative Assembly  ,9.0,,0.0,0.09,0.0,0.01,0.11,0.21
X360,92.0,8.1,2009,Racing,Microsoft Game Studios  ,Turn 10 Studios  ,9.2,9.8,2.99,1.9,0.1,0.51,5.5,11.0
PC,92.0,7.9,2017,Adventure,Capcom  ,Capcom  ,,,0.0,0.0,0.0,0.0,0.0,0.0
PC,92.0,8.4,2015,Role-Playing,Toby Fox  ,Toby Fox  ,,,0.0,0.0,0.0,0.0,0.0,0.0
X360,92.0,8.7,2009,Action,Eidos Interactive  ,Rocksteady Studios  ,9.1,,2.24,0.95,0.02,0.33,3.54,7.08
XB,92.0,8.3,2003,Sports,EA Sports BIG   ,EA Canada  ,,,0.29,0.08,0.0,0.01,0.39,0.77
