Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
50044,The Need for Speed,PC,1995,Racing,Electronic Arts  ,Pioneer Productions  ,,,,,,,
50045,The Neverhood,PC,1996,Adventure,DreamWorks Interactive  ,DreamWorks Interactive  ,,,,,,,
50046,The New Addams Family,GB,2001,Adventure,Titus  ,7th Sense  ,,,,,,,
50047,The New Adventures of Mary-Kate & Ashley,GB,1999,Platform,Acclaim Entertainment  ,Crawfish Interactive  ,,,,,,,
50048,The New Adventures of Moomin: The Great Autumn Party,DS,2009,Adventure,Graffiti  ,Prelusion Games  ,,,,,,,
50049,The New Adventures of Moomin: The Mysterious Howling,DS,2009,Adventure,Graffiti  ,Graffiti Entertainment  ,,,,,,,
50050,The New Adventures of Moomin: The Mysterious Howling,PC,1970,Adventure,Unknown  ,Graffiti Entertainment  ,,,,,,,
50051,The New Zealand Story,PCE,1990,Platform,Taito  ,Aisystem Tokyo  ,,,,,,,
50052,The New Zealand Story,MS,1992,Platform,TecMagik  ,TecMagik  ,,,,,,,
50053,The New Zealand Story,GEN,1990,Platform,Taito  ,Taito Corporation  ,,,,,,,
50054,The New Zealand Story,VC,2008,Platform,Taito  ,Aisystem Tokyo  ,,,,,,,
50055,The Next Tetris,PC,1999,Puzzle,Hasbro Interactive  ,Blue Planet Software  ,,,,,,,
50056,The Nightmare Cooperative,Linux,2014,Strategy,Lucky Frame  ,Lucky Frame  ,,,,,,,
50057,The Nightmare Cooperative,OSX,2014,Strategy,Lucky Frame  ,Lucky Frame  ,,,,,,,
50058,The Nightmare Cooperative,PC,2014,Strategy,Lucky Frame  ,Lucky Frame  ,,,,,,,
50059,The Ninja,MS,1987,Action,Sega  ,Sega  ,,,,,,,
50060,The Ninja Warriors,PCE,1989,Action,Taito  ,Taito Corporation  ,,,,,,,
50061,The Ninja Warriors,SCD,1993,Action,Taito  ,Taito Corporation  ,,,,,,,
50062,The Note,PS,1997,Adventure,Sunsoft  ,Team Bughouse  ,,,,,,,
50063,The Oddboxx,PC,2010,Misc,Oddworld Inhabitants  ,Oddworld Inhabitants  ,,,,,,,
50064,The Oni Taiji: Mokushi Se! Ni Yome Momotarou,PS,1995,Misc,Nippon Ichi Software  ,Nippon Ichi Software  ,,,,,,,
50065,The Ooze,GEN,1995,Action,Sega  ,Sega Technical Institute  ,,,,,,,
50066,The Operational Art of War II: Modern Battles 1956 - 2000,PC,1999,Strategy,TalonSoft  ,Norm Koger  ,,,,,,,
50067,The Oracle,XBL,2009,Misc,Microsoft  ,loidl  ,,,,,,,
50068,The Orb & the Oracle,PC,N/A,Role-Playing,Unknown  ,N/A  ,,,,,,,
50069,The Oregon Trail,PC,1993,Adventure,MECC  ,MECC  ,,,,,,,
50070,The Oregon Trail,WW,N/A,Action,Unknown  ,Gameloft  ,,,,,,,
50071,The Oregon Trail,DSiW,2009,Adventure,Gameloft  ,Gameloft  ,,,,,,,
50072,The Oregon Trail 3rd Edition,PC,1997,Strategy,The Learning Company  ,The Learning Company  ,,,,,,,
50073,The Oregon Trail 4th Edition,PC,2000,Adventure,Mattel Interactive  ,The Learning Company  ,,,,,,,
50074,The Oregon Trail 5th Edition,PC,2001,Adventure,The Learning Company  ,The Learning Company  ,,,,,,,
50075,The Oregon Trail II,PC,1995,Adventure,The Learning Company  ,MECC  ,,,,,,,
50076,The Otherside: Realm of Eons,PC,2010,Adventure,Namco Networks America  ,Vogat Interactive  ,,,,,,,
50077,The Ottifants,GG,1993,Platform,Sega  ,Sega  ,,,,,,,
50078,The Ottifants,MS,1993,Platform,Sega  ,Sega  ,,,,,,,
50079,The Ottifants,GEN,1993,Platform,Sega  ,Graftgold  ,,,,,,,
50080,The Pagemaster,SNES,1994,Platform,Fox Interactive  ,Probe Entertainment Limited  ,,,,,,,
50081,The Pagemaster,GB,1994,Platform,Fox Interactive  ,Probe Entertainment Limited  ,,,,,,,
50082,The Pagemaster,GEN,1994,Action,Fox Interactive  ,Probe Software Ltd.  ,,,,,,,
50083,The Pandora Directive,PC,1996,Adventure,Access Software  ,Access Software  ,,,,,,,
50084,The Path,PC,2009,Adventure,Tale of Tales  ,Tale of Tales  ,,,,,,,
50085,The Path of Go,XBL,2010,Misc,Microsoft  ,Microsoft Research  ,,,,,,,
50086,The Patrician,PC,1992,Simulation,Ascon Software  ,Ascon  ,,,,,,,
50087,The Peace Keepers,SNES,1994,Action,Jaleco  ,Jaleco Entertainment  ,,,,,,,
50088,The Penguins of Madagascar,3DS,N/A,Action,Unknown  ,THQ  ,,,,,,,
50089,The Penguins of Madagascar: Dr. Blowhole Returns - Again,PC,2014,Misc,Namco Bandai Games  ,Unknown  ,,,,,,,
50090,The Perfect General,3DO,1996,Strategy,Kirin Entertainment  ,Game Guild  ,,,,,,,
