fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
3181,Goblin Commander: Unleash the Horde,XB,70,0.0,2003,Strategy,Jaleco  ,Jaleco Entertainment  ,,80000.0
3182,Bionic Commando,X360,70,7.2,2009,Adventure,Capcom  ,GRIN  ,7.1,280000.0
3183,BloodRayne 2,PS2,70,7.6,2004,Shooter,Majesco  ,Terminal Reality  ,,270000.0
3184,ARK: Survival Evolved,PC,70,6.3,2015,Action-Adventure,Studio Wildcard  ,Studio Wildcard  ,,10000.0
3185,Super Swing Golf Season 2,Wii,70,0.0,2007,Sports,Tecmo  ,Ntreev Soft  ,,110000.0
3186,Crackdown 2,X360,70,6.0,2010,Shooter,Microsoft Game Studios  ,Ruffian Games  ,7.5,1120000.0
3187,Age of Empires Online,PC,70,5.7,2011,Strategy,Microsoft Game Studios  ,Microsoft Game Studios  ,7.0,60000.0
3188,Still Life,XB,70,7.0,2005,Adventure,The Adventure Company  ,Microids  ,,70000.0
3189,Silent Hill: Homecoming,X360,70,6.9,2008,Action,Konami  ,Double Helix Games  ,7.6,450000.0
3190,MX vs. ATV Untamed,Wii,70,8.3,2008,Racing,THQ  ,Rainbow Studios  ,,330000.0
3191,MX vs. ATV Untamed,Wii,53,7.7,2008,Racing,THQ  ,Rainbow Studios  ,,330000.0
3192,.hack//Outbreak Part 3,PS2,70,8.2,2003,Role-Playing,Bandai  ,CyberConnect2  ,7.1,460000.0
3193,Dynasty Warriors 3,XB,70,8.8,2002,Action,KOEI  ,Omega Force  ,,80000.0
3194,Quantum Redshift,XB,70,7.4,2002,Racing,Microsoft Game Studios  ,Curly Monsters  ,,130000.0
3195,Wizardry: Tale of the Forsaken Land,PS2,70,7.9,2001,Role-Playing,Atlus  ,Racjin  ,,90000.0
