,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,vg_user_score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
3277,SimAnimals,DS,70.0,8.2,2009,Simulation,Electronic Arts  ,Electronic Arts  ,,,0.5099019513592785,0.458257569495584,0.0,0.22360679774997896,0.7211102550927979
3278,Blazing Angels 2: Secret Missions of WWII,PS3,70.0,7.2,2007,Simulation,Ubisoft  ,Ubisoft Romania  ,7.2,,0.31622776601683794,0.17320508075688773,0.0,0.1414213562373095,0.3872983346207417
3279,Legacy of Kain: Defiance,PC,70.0,8.7,2003,Adventure,Eidos Interactive  ,Crystal Dynamics  ,,,0.0,0.1,0.0,0.0,0.1
3280,Nitroplus Blasterz: Heroines Infinite Duel,PS4,70.0,6.9,2016,Fighting,Xseed Games  ,Examu Inc.  ,,,0.1,0.1,0.17320508075688773,0.0,0.22360679774997896
3281,Fossil Fighters,DS,70.0,8.4,2009,Role-Playing,Nintendo  ,RED Entertainment  ,6.9,,0.9110433579144299,0.0,0.0,0.2449489742783178,0.9433981132056604
3282,Sine Mora EX,NS,70.0,7.3,2017,Action,THQ Nordic  ,Digital Reality  ,8.0,,0.0,0.2,0.0,0.0,0.2
3283,Alice: Madness Returns,X360,70.0,8.2,2011,Adventure,Electronic Arts  ,Spicy Horse  ,6.9,,0.5196152422706632,0.3872983346207417,0.2,0.2,0.7071067811865476
3284,Naruto Shippuden: Ultimate Ninja Storm 3,X360,70.0,7.6,2013,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,0.5477225575051661,0.41231056256176607,0.1,0.22360679774997896,0.7211102550927979
3285,Warriors All-Stars,PS4,70.0,6.4,2017,Action,Tecmo Koei  ,Omega Force  ,,,0.17320508075688773,0.0,0.2449489742783178,0.1,0.31622776601683794
3286,Atelier Annie: Alchemists of Sera Island,DS,70.0,6.8,2009,Role-Playing,NIS America  ,Gust  ,,,0.282842712474619,0.0,0.17320508075688773,0.1,0.34641016151377546
3287,Greg Hastings' Tournament Paintball Max'd,PS2,70.0,8.2,2006,Shooter,Activision  ,WXP  ,,,0.1,0.0,0.0,0.0,0.1
3288,Tenchu: Shadow Assassins,Wii,70.0,7.3,2009,Action,Ubisoft  ,Acquire  ,7.0,,0.3872983346207417,0.1,0.17320508075688773,0.1,0.458257569495584
3289,Metal Slug 7,DS,70.0,7.7,2008,Shooter,Ignition Entertainment  ,SNK Playmore Corporation  ,6.9,,0.34641016151377546,0.0,0.1,0.1,0.37416573867739417
3290,Killer7,PS2,70.0,8.7,2005,Action,Capcom  ,Grasshopper Manufacture  ,6.5,,0.2,0.17320508075688773,0.0,0.1,0.3
3291,Vexx,XB,70.0,8.3,2003,Platform,Acclaim Entertainment  ,Acclaim Studios Austin  ,6.8,,0.282842712474619,0.1414213562373095,0.0,0.0,0.31622776601683794
3292,Dragon Ball: Origins 2,DS,70.0,7.8,2010,Action,Namco Bandai  ,Game Republic  ,6.9,,0.22360679774997896,0.1414213562373095,0.282842712474619,0.1,0.4
3293,Dynasty Warriors: Godseekers,PS4,70.0,6.3,2017,Strategy,Tecmo Koei  ,Omega Force  ,,,0.0,0.0,0.17320508075688773,0.0,0.17320508075688773
3294,Vampyr,PS4,70.0,6.8,2018,Role-Playing,Focus Home Interactive  ,DONTNOD Entertainment  ,,8.5,0.34641016151377546,0.43588989435406733,0.0,0.2449489742783178,0.6082762530298219
3295,Tom Clancy's HAWX 2,PS3,70.0,6.5,2010,Action,Ubisoft  ,Ubisoft Bucharest  ,,,0.458257569495584,0.34641016151377546,0.17320508075688773,0.22360679774997896,0.6403124237432849
3296,Garfield's Nightmare,DS,70.0,8.4,2007,Platform,Game Factory  ,Shin'en  ,,,0.1,0.0,0.0,0.0,0.1414213562373095
