fill,Name,Platform,meta_score,meta_UserReview,Year,Genre,Publisher,Developer,vg_critic_score,Global_Sales
2887,Warriors Orochi 4,PS4,72.0,7.4,2018,Action,Koei Tecmo  ,Omega Force  ,,220000.0
2888,Major League Baseball 2K11,PS3,72.0,6.3,2011,Sports,2K Sports  ,Visual Concepts  ,,200000.0
2889,Saints Row 2,PC,72.0,6.8,2009,Action,THQ  ,Volition Inc.  ,6.6,40000.0
2890,Tiger Woods PGA Tour 08,Wii,72.0,7.0,2007,Sports,Electronic Arts  ,EA Salt Lake  ,7.4,1020000.0
2891,Candle: The Power of the Flame,NS,72.0,7.8,2018,Platform,Merge Games  ,Teku Studios  ,,10000.0
2892,Borderlands 2 VR,PS4,72.0,7.3,2018,Shooter,2K Games  ,Gearbox Software  ,,90000.0
2893,Bombastic,PS2,72.0,7.2,2003,Puzzle,Capcom  ,Shift  ,,50000.0
2894,Nostalgia,DS,72.0,7.6,2009,Role-Playing,Ignition Entertainment  ,Matrix Software / RED Entertainment  ,7.2,190000.0
2895,Until Dawn: Rush of Blood,PS4,72.0,7.8,2016,Shooter,Sony Interactive Entertainment  ,Supermassive Games Ltd.  ,,850000.0
2896,Shaun White Snowboarding: World Stage,Wii,72.0,8.7,2009,Sports,Ubisoft  ,Ubisoft Montreal  ,7.2,300000.0
2897,Just Dance 2019,NS,72.0,6.1,2018,Music,Ubisoft  ,Ubisoft Paris  ,,760000.0
2898,Earth Defense Force 5,PS4,72.0,7.7,2018,Shooter,D3 Publisher  ,Sandlot  ,,240000.0
2899,Secret Agent Clank,PSP,72.0,7.8,2008,Platform,Sony Computer Entertainment  ,High Impact Games  ,7.0,140000.0
2900,Ninja Gaiden Sigma Plus,PSV,72.0,7.4,2012,Action,Tecmo Koei  ,Team Ninja  ,,260000.0
2901,Bionicle Heroes,DS,72.0,6.7,2006,Shooter,Eidos Interactive  ,Amaze Entertainment  ,7.8,60000.0
2902,Super Robot Taisen: Original Generation,GBA,72.0,6.6,2006,Role-Playing,Atlus  ,Banpresto  ,,10000.0
2903,Danganronpa Another Episode: Ultra Despair Girls,PSV,72.0,8.3,2015,Shooter,NIS America  ,Spike Chunsoft  ,,220000.0
2904,NASCAR 07,XB,72.0,7.0,2006,Racing,EA Sports  ,EA Tiburon  ,,40000.0
2905,Divinity II: Ego Draconis,PC,72.0,7.7,2010,Role-Playing,CDV Software Entertainment  ,Larian Studios  ,6.8,70000.0
2906,The Liar Princess and the Blind Prince,NS,72.0,7.2,2019,Platform,NIS America  ,Nippon Ichi Software  ,,20000.0
2907,Just Dance 2017,NS,72.0,5.3,2017,Music,Ubisoft  ,Ubisoft Paris  ,6.5,290000.0
2908,Arc the Lad: Twilight of the Spirits,PS2,72.0,8.4,2003,Role-Playing,Sony Computer Entertainment  ,Cattle Call  ,7.3,360000.0
2909,Disney Golf,PS2,72.0,8.0,2002,Sports,Electronic Arts  ,Tikipod  ,,170000.0
2910,X-Men: Mutant Academy 2,PS,72.0,8.4,2001,Fighting,Activision  ,Paradox Development  ,,720000.0
2911,Earthworm Jim,GBA,72.0,5.9,2001,Platform,Majesco  ,Game Titan  ,7.2,290000.0
2912,Darksiders II: Deathinitive Edition,PS4,72.0,7.4,2015,Action-Adventure,Nordic Games  ,Gunfire Games  ,7.5,240000.0
2913,Mushroom Men: The Spore Wars,Wii,72.0,8.8,2008,Action,SouthPeak Interactive  ,Red Fly Studio  ,7.3,180000.0
2914,Valkyrie Drive: Bhikkhuni,PSV,72.0,8.1,2016,Action,PQube  ,Marvelous Entertainment  ,,170000.0
2915,FIFA 07 Soccer,DS,72.0,6.2,2006,Sports,EA Sports  ,EA Canada  ,7.5,60000.0
2916,Dungeons & Dragons Heroes,XB,72.0,7.8,2003,Role-Playing,Atari  ,Atari  ,,260000.0
2917,PlayerUnknown's Battlegrounds,PS4,72.0,3.1,2018,Shooter,Sony Interactive Entertainment  ,PUBG Corporation  ,,330000.0
2918,Rail Simulator,PC,72.0,6.9,2008,Simulation,Electronic Arts  ,Kuju Entertainment  ,,10000.0
2919,Marvel vs. Capcom: Infinite,PS4,72.0,4.6,2017,Fighting,Capcom  ,Capcom  ,,700000.0
2920,Pac 'n Roll,DS,72.0,8.4,2005,Platform,Namco  ,Namco  ,,110000.0
2921,Dead Rising 2: Off the Record,X360,72.0,7.5,2011,Action,Capcom  ,Blue Castle Games  ,7.6,270000.0
2922,Leisure Suit Larry: Wet Dreams Don't Dry,PC,72.0,6.7,2018,Adventure,Assemble Entertainment  ,CrazyBunch  ,,10000.0
2923,Zanki Zero: Last Beginning,PS4,72.0,5.9,2019,Role-Playing,Spike Chunsoft  ,Lancarse  ,,40000.0
2924,Dead Rising 4: Frank's Big Package,PS4,72.0,5.8,2017,Action-Adventure,Capcom  ,Capcom  ,,160000.0
2925,Heavy Rain: Move Edition,PS3,72.0,8.1,2010,Adventure,Sony Computer Entertainment  ,Quantic Dream  ,,40000.0
2926,Thrillville: Off the Rails,PSP,72.0,1.5,2007,Strategy,LucasArts  ,Frontier Developments  ,,100000.0
2927,Shrek 2,XB,72.0,5.6,2004,Platform,Activision  ,"Luxoflux, Inc.  ",6.7,550000.0
2928,Hunter: The Reckoning Redeemer,XB,72.0,7.2,2003,Action,VU Games  ,High Voltage Software  ,,170000.0
2929,Spyro: Attack of the Rhynocs,GBA,72.0,7.1,2003,Platform,Universal Interactive  ,Digital Eclipse  ,,300000.0
2930,Jurassic Park: Operation Genesis,PC,72.0,8.7,2003,Simulation,VU Games  ,Blue Tongue  ,,20000.0
2931,Dragon Ball: Fusions,3DS,72.0,8.1,2016,Role-Playing,Namco Bandai Games  ,Ganbarion  ,6.3,540000.0
2932,Dark Sector,X360,72.0,7.4,2008,Shooter,D3 Publisher  ,Digital Extremes  ,7.1,480000.0
2933,Super Swing Golf,Wii,72.0,7.8,2006,Sports,Tecmo  ,Ntreev Soft  ,,220000.0
2934,Majin and the Forsaken Kingdom,PS3,72.0,8.0,2010,Adventure,Namco Bandai  ,Game Republic  ,7.0,290000.0
2935,FIFA Manager 12,PC,72.0,4.4,2011,Sports,Electronic Arts  ,Bright Future GmbH  ,,50000.0
2936,Divinity II: The Dragon Knight Saga,X360,72.0,7.9,2011,Role-Playing,Atlus  ,Larian Studios  ,7.5,130000.0
2937,Overlord II,PS3,72.0,7.7,2009,Action,Codemasters  ,Triumph Studios  ,,320000.0
2938,FIFA Soccer 10,PC,72.0,4.6,2009,Sports,EA Sports  ,EA Canada  ,,50000.0
2939,Legend of Kay,PS2,72.0,7.6,2005,Action,Capcom  ,Neon Studios  ,7.2,50000.0
2940,All-Star Baseball 2005,PS2,72.0,8.6,2004,Sports,Acclaim Entertainment  ,Acclaim Entertainment  ,,320000.0
2941,Turok: Evolution,GBA,72.0,8.1,2002,Platform,Acclaim Entertainment  ,RFX Interactive  ,,120000.0
2942,Tiger Woods PGA Tour 07,Wii,71.0,6.9,2007,Sports,EA Sports  ,EA Redwood Shores  ,7.1,470000.0
2943,Shiren the Wanderer,Wii,71.0,8.0,2010,Role-Playing,Atlus  ,ChunSoft  ,7.4,190000.0
2944,Capcom Beat 'Em Up Bundle,PS4,71.0,5.5,2018,Fighting,Capcom  ,Capcom  ,,10000.0
2945,Red Faction: Armageddon,X360,71.0,7.1,2011,Shooter,THQ  ,Volition Inc.  ,7.1,390000.0
2946,Just Dance 2018,NS,71.0,5.9,2017,Music,Ubisoft  ,Ubisoft Paris  ,8.0,760000.0
2947,The Crew,PC,71.0,6.3,2014,Racing,Ubisoft  ,Ubisoft Reflections  ,,150000.0
2948,Puzzle Quest: Challenge of the Warlords,Wii,71.0,6.2,2007,Puzzle,D3 Publisher  ,Vicious Cycle  ,,290000.0
2949,Rayman Origins,3DS,71.0,6.3,2012,Platform,Ubisoft  ,Ubisoft  ,,150000.0
2950,Hyperdimension Neptunia U: Action Unleashed,PSV,71.0,7.0,2015,Action,Idea Factory International  ,Compile Heart  ,,130000.0
2951,Wolfenstein,PS3,71.0,7.3,2009,Shooter,Activision  ,Raven Software  ,7.2,630000.0
2952,Electroplankton,DS,71.0,7.0,2005,Misc,Nintendo  ,Indies Zero  ,,30000.0
2953,Moon,DS,71.0,7.5,2009,Shooter,Mastiff  ,Renegade Kid  ,6.7,50000.0
2954,Jak and Daxter: The Lost Frontier,PSP,71.0,6.8,2009,Platform,Sony Computer Entertainment  ,High Impact Games  ,7.5,620000.0
2955,Sherlock Holmes: Crimes & Punishments,XOne,71.0,6.8,2014,Adventure,Focus Home Interactive  ,Frogwares  ,,80000.0
2956,Bee Movie Game,X360,71.0,8.2,2007,Action,Activision  ,Beenox  ,6.8,170000.0
